match_id,round,date,team,opponent,is_home,team_score,opponent_score,formation,possession_pct,goals,xg,shots,shots_on_target,passes,passes_completed,pass_completion_pct,completed_line_breaks,defensive_line_breaks,receptions_final_third,crosses,ball_progressions,def_pressures,def_pressures_direct,forced_turnovers,second_balls,total_distance_km,zone4_low_speed_sprint_km,phase_build_up_unopposed_pct,phase_build_up_opposed_pct,phase_progression_pct,phase_final_third_pct,phase_long_ball_pct,phase_attacking_transition_pct,phase_counter_attack_pct,phase_set_piece_pct,phase_high_press_pct,phase_mid_press_pct,phase_low_press_pct,phase_high_block_pct,phase_mid_block_pct,phase_low_block_pct,phase_recovery_pct,phase_defensive_transition_pct,phase_counter_press_pct,avg_pressure_duration_s,ball_recovery_time_s,pushing_on_into_pressing,pushing_on,pressing_direction_inside,pressing_direction_outside,ip_build_up_low_team_width_m,ip_build_up_low_team_length_m,ip_build_up_low_line_height_m,ip_build_up_mid_team_width_m,ip_build_up_mid_team_length_m,ip_build_up_mid_line_height_m,ip_final_third_phase_team_width_m,ip_final_third_phase_team_length_m,ip_final_third_phase_line_height_m,oop_high_block_press_team_width_m,oop_high_block_press_team_length_m,oop_high_block_press_line_height_m,oop_mid_block_team_width_m,oop_mid_block_team_length_m,oop_mid_block_line_height_m,oop_low_block_team_width_m,oop_low_block_team_length_m,oop_low_block_line_height_m,lb_4u_attempted,lb_3u_attempted,lb_2u_attempted,lb_4u_inside_shape,lb_3u_inside_shape,lb_2u_inside_shape,lb_4u_outside_shape,lb_3u_outside_shape,lb_2u_outside_shape,offers_made_total,offers_received_total,offers_made_final_third,offers_made_middle_third,offers_made_defensive_third,offers_made_inside_shape,offers_made_outside_shape,possession_regained_total,interceptions_total,tackles_total,possession_actions_per_defensive_action,blocks_total,possession_contests_total,total_set_plays,corner_direct_to_area_left,corner_direct_to_area_right,corner_direct_to_area_total,corner_short_left,corner_short_right,corner_short_total,corner_edge_box_left,corner_edge_box_right,corner_edge_box_total,corner_inswing,corner_outswing,corner_driven,corner_lofted,freekick_direct,freekick_direct_on_target,freekick_direct_off_target,freekick_indirect,total_free_kicks,total_penalties,total_corners,total_throw_ins,movement_final_third_phase_total,movement_progression_phase_total,movement_build_up_phase_total,movement_all_types_total,movement_final_third_in_front,movement_final_third_in_between,movement_final_third_out_to_in,movement_final_third_in_to_out,movement_final_third_in_behind,movement_middle_third_in_front,movement_middle_third_in_between,movement_middle_third_out_to_in,movement_middle_third_in_to_out,movement_middle_third_in_behind,movement_defensive_third_in_front,movement_defensive_third_in_between,movement_defensive_third_out_to_in,movement_defensive_third_in_to_out,movement_defensive_third_in_behind
11,Group F,14 June 2026,Netherlands,Japan,True,2,2,04-1-2-3,54.9,2,0.63,10,6,529,473,89,88,13,156,23,23,194,30,33,49,102.9,4.6,46,19,14,24,3,8,1,6,2,2,0,2,25,33,5,12,7,1.57,14.25,86,158,27,129,53,38,24,54,28,50,45,27,63,44,40,46,42,24,39,36,20,18,2,48,73,2,30,34,0,18,39,298,119,167,102,29,180,118,32,8,19,6.22,17,46,33,2,3,5,0,0,0,0,0,0,2,3,0,0,7,0,0,0,7,0,5,21,95,71,158,239,32,40,3,2,73,41,17,2,6,3,7,7,0,1,5
11,Group F,14 June 2026,Japan,Netherlands,False,2,2,3-4-3,45.1,2,0.34,9,2,356,302,85,72,13,120,24,21,316,46,28,50,109.4,5.1,44,9,17,20,3,12,1,6,2,3,0,1,18,50,4,8,6,1.75,22.26,151,274,68,193,55,38,22,59,31,44,47,29,63,43,36,45,41,22,37,37,17,20,5,36,68,2,19,38,3,17,30,342,105,193,112,37,203,139,37,6,24,3.81,13,48,31,1,3,4,0,0,0,0,0,0,1,3,0,0,7,0,0,1,8,0,4,19,101,90,125,261,27,40,5,12,75,35,21,3,1,15,18,8,1,0,0
12,Group F,14 June 2026,Sweden,Tunisia,True,5,1,3-4-1-2,47.4,5,2.09,13,7,356,290,81,71,13,103,12,26,172,44,42,69,111.3,5.1,38,10,13,17,5,15,5,6,2,2,1,2,24,25,3,16,12,1.5,15.0,64,145,27,104,58,39,22,57,34,43,39,38,54,39,38,48,40,26,36,36,22,21,7,74,31,3,41,16,4,33,15,250,97,102,126,22,124,126,46,8,25,3.88,14,49,37,2,2,4,0,0,0,0,0,0,4,0,0,0,8,0,0,6,14,0,4,19,57,56,95,183,9,28,1,11,41,36,23,2,5,16,8,2,0,1,0
12,Group F,14 June 2026,Tunisia,Sweden,False,1,5,5-3-2,52.6,1,0.34,6,2,370,299,81,76,5,84,13,19,223,45,41,67,109.7,5.9,37,11,19,14,4,16,0,8,3,4,0,3,21,21,7,15,9,1.89,17.18,90,188,24,152,57,39,19,59,32,40,44,33,58,44,39,44,42,26,38,36,23,20,9,84,23,8,50,15,1,34,8,362,109,154,166,42,205,157,39,5,35,3.27,17,47,32,1,1,2,0,0,0,0,0,0,2,0,0,0,10,0,1,3,13,0,2,17,55,84,142,281,11,42,1,5,75,29,50,7,17,14,15,12,0,3,0
13,Group H,15 June 2026,Saudi Arabia,Uruguay,True,1,1,4-4-2,27.1,1,1.06,7,3,331,243,73,54,3,60,6,13,318,40,44,58,109.5,4.7,25,12,12,8,9,22,2,9,1,3,0,2,28,41,3,9,7,1.47,19.24,129,254,38,233,47,36,16,54,33,38,40,36,55,39,35,46,37,24,37,33,17,18,5,67,29,5,51,23,0,16,6,201,54,74,100,27,113,88,37,7,21,2.5,28,49,34,0,3,3,0,0,0,0,1,1,0,3,0,0,6,0,0,6,12,0,4,18,32,42,62,152,8,16,4,3,30,22,29,3,7,17,9,2,1,0,1
13,Group H,15 June 2026,Uruguay,Saudi Arabia,False,1,1,4-4-2,72.9,1,1.5,27,10,623,566,91,128,16,222,42,32,157,23,39,67,110.9,5.2,44,15,19,24,1,9,0,6,6,1,0,4,21,9,3,22,17,1.4,12.89,64,179,30,78,55,38,23,54,30,46,45,28,63,41,35,50,43,26,34,37,21,16,3,70,81,1,38,23,2,32,58,538,180,293,196,49,243,295,42,12,14,7.62,21,52,45,5,6,11,1,0,1,2,0,2,5,6,0,0,11,1,0,0,11,0,14,20,147,141,250,392,45,44,8,1,144,53,35,9,2,32,13,6,0,0,0
14,Group H,15 June 2026,Spain,Cabo Verde,True,0,0,4-1-2-3,65.7,0,2.26,27,7,811,755,93,144,28,426,39,23,200,37,53,83,115.5,5.0,48,20,16,40,0,6,1,5,10,3,0,16,12,2,5,23,14,1.73,9.61,91,186,33,114,47,38,24,52,27,50,46,25,65,37,36,51,36,28,44,34,23,10,2,35,137,1,14,53,1,21,84,634,247,473,140,21,388,246,41,7,21,10.34,17,41,33,3,6,9,0,2,2,0,0,0,5,4,0,0,1,0,0,3,4,0,11,18,306,147,352,491,109,80,21,5,189,59,11,4,2,4,5,1,1,0,0
14,Group H,15 June 2026,Cabo Verde,Spain,False,0,0,4-1-2-3,34.3,0,0.13,6,1,306,227,74,57,1,17,3,23,398,44,47,54,112.4,4.2,26,15,11,5,8,23,2,7,1,1,0,0,18,60,2,6,5,1.36,24.76,182,352,60,252,51,37,14,52,34,33,37,37,55,36,38,47,36,23,37,35,16,17,9,85,12,6,59,10,3,26,2,238,80,38,109,91,114,124,71,9,33,1.93,37,43,27,0,1,1,0,0,0,0,0,0,1,0,0,0,10,0,0,2,12,0,1,14,15,43,75,159,4,2,0,0,29,11,43,7,7,16,20,15,3,2,0
15,Group G,15 June 2026,IR Iran,New Zealand,True,2,2,4-3-3,43.3,2,1.85,17,4,417,333,80,75,15,98,18,31,253,54,46,83,113.0,6.1,33,13,20,17,4,17,3,7,4,5,1,4,27,12,3,16,12,1.58,12.89,112,239,34,153,53,40,18,54,32,40,40,39,54,40,37,46,41,27,36,36,26,16,11,65,42,7,36,29,4,29,13,355,112,150,146,59,163,192,56,9,37,3.81,17,67,37,3,1,4,0,0,0,0,0,0,3,1,0,0,8,0,0,0,8,0,4,25,78,77,122,245,23,22,2,3,82,54,25,3,6,5,18,1,0,1,0
15,Group G,15 June 2026,New Zealand,IR Iran,False,2,2,4-4-2,56.7,2,1.47,14,8,448,378,84,89,3,104,11,22,234,42,47,67,112.9,6.6,36,12,13,13,4,16,1,7,5,5,1,4,26,15,7,17,10,1.8,12.89,95,203,40,143,54,39,22,55,35,38,43,36,56,40,38,48,39,27,37,33,31,16,7,72,39,6,41,21,1,31,18,396,154,129,211,56,206,190,67,8,29,3.27,38,66,28,0,0,0,0,1,1,0,0,0,0,0,0,0,9,1,0,2,11,0,1,16,68,79,154,276,10,38,5,5,52,53,50,4,12,30,14,3,0,0,0
