match_id,team,player_number,player_name,position,started,minutes_played,yellow_card_minute,red_card_minute,goals,formation_x,formation_y,lb_attempted,lb_completed,lb_completion_pct,lb_attacking_line,lb_attacking_midfield_line,lb_midfield_line,lb_defensive_line,lb_3u_attacking_line,lb_3u_midfield_line,lb_3u_defensive_line,lb_2u_midfield_line,lb_2u_defensive_line,lb_through,lb_around,lb_over,lb_pass,lb_cross,lb_ball_progression,passes_attempted,passes_completed,pass_completion_pct,switches_of_play,crosses_attempted,crosses_completed,ball_progressions,take_ons,step_ins,attempts_at_goal,ip_goals,total_offers,offer_in_front,offer_in_between,offer_out_to_in,offer_in_to_out,offer_in_behind,offer_no_movement,offers_received,tackles_made,tackles_won,blocks,interceptions,pressing_direct,pressing_indirect,duels_won_aerial,duels_won_physical,possession_contests_won,clearances,loose_ball_receptions,pushing_on,pushing_on_into_pressing,possession_regains,possession_interrupted,total_distance_m,zone1_distance_m,zone2_distance_m,zone3_distance_m,zone4_distance_m,zone5_distance_m,high_speed_runs_zone3,sprints_zone4_5,top_speed_kmh,cross_inswing,cross_outswing,cross_driven,cross_lofted,cross_cutback,cross_push,cross_total_attempted,gk_line_breaks,gk_kick_from_feet_total,gk_kick_from_hands_total,gk_throw_total,gp_attempts_faced,gp_interventions_total,gp_save_retain,gp_deflect_retain,gp_save_deflect,gp_save_attempt,gp_no_save_attempt,gp_save_pct,ac_total_interventions,ac_punches_complete,ac_punches_total,ac_punches_incomplete,ac_claims_complete,ac_claims_total,ac_claims_incomplete,ac_tipped_palmed_complete,ac_tipped_palmed_total,ac_tipped_palmed_incomplete,ac_delivery_total,ac_delivery_inswing,ac_delivery_outswing,ac_delivery_driven,ac_delivery_lofted,ac_delivery_cutback,ac_delivery_push,fx,fy
1,Mexico,18,Obed VARGAS,MF,False,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mexico,19,Gilberto MORA,MF,False,26,,,0,,,3.0,2.0,67.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,15.0,15.0,100.0,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,18.0,5.0,3.0,2.0,2.0,5.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,3082.9,1161.6,1053.3,570.0,251.5,46.6,43.0,17.0,27.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mexico,20,Mateo CHAVEZ,DF,False,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mexico,21,Cesar HUERTA,FW,False,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mexico,22,Guillermo MARTINEZ,FW,False,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mexico,24,Luis CHAVEZ,MF,False,26,,,0,,,8.0,8.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,6.0,1.0,8.0,0.0,0.0,28.0,28.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,9.0,3.0,0.0,0.0,0.0,4.0,12.0,2.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0,2876.7,1042.9,1078.7,459.2,249.1,46.8,42.0,16.0,27.1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,South Africa,1,Ronwen WILLIAMS,GK,True,92,,,0,0.919,0.468,18.0,9.0,50.0,0.0,1.0,0.0,0.0,3.0,9.0,1.0,4.0,0.0,2.0,2.0,14.0,18.0,0.0,0.0,47.0,35.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,1.0,5010.4,3978.6,903.5,110.9,17.4,0.0,12.0,1.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,39.0,1.0,7.0,17.0,5.0,3.0,1.0,2.0,2.0,9.0,50.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,5.0,0.0,1.0,0.0,2.0,0.05599999999999994,0.46900000000000003
1,South Africa,4,Teboho MOKOENA,MF,True,92,17.0,,0,0.706,0.883,13.0,11.0,85.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,6.0,0.0,5.0,6.0,2.0,12.0,1.0,0.0,43.0,41.0,95.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,7.0,0.0,4.0,3.0,2.0,18.0,4.0,0.0,1.0,2.0,7.0,33.0,2.0,0.0,2.0,1.0,1.0,45.0,18.0,4.0,2.0,9860.8,3407.1,4302.3,1444.8,576.0,130.7,136.0,44.0,31.4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269,0.05400000000000005
1,South Africa,6,Aubrey MODIBA,DF,True,77,,,0,0.816,0.883,4.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,17.0,13.0,76.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,0.0,19.0,2.0,2.0,3.0,0.0,4.0,8.0,7.0,5.0,0.0,1.0,0.0,6.0,17.0,0.0,0.0,0.0,0.0,3.0,26.0,13.0,0.0,3.0,8037.8,3061.5,3308.1,1162.3,459.6,46.2,98.0,39.0,27.8,1.0,1.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15900000000000003,0.05400000000000005
1,South Africa,9,Lyle FOSTER,FW,True,56,,,0,0.556,0.24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,20.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,6.0,1.0,3.0,9.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,0.0,1.0,5968.5,2748.0,2225.6,643.4,263.1,88.4,66.0,16.0,31.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41899999999999993,0.6970000000000001
