match_id,team,minute,player_number,player_name,outcome,body_part,delivery_type
79,Ecuador,88,16,Jordy CAICEDO,Incomplete - Blocked,Left Foot,Other
80,England,29,10,Jude BELLINGHAM,On Target - Saved,Head,Pass
80,England,34,9,Harry KANE,Incomplete - Blocked,Right Foot,Loose Ball
80,England,34,3,Nico OREILLY,Incomplete - Player On Ball Error,Lower Body,Pass
80,England,34,11,Marcus RASHFORD,On Target - Goal Prevented,Right Foot,Loose Ball
80,England,35,20,Noni MADUEKE,Incomplete - Blocked,Left Foot,Loose Ball
80,England,38,20,Noni MADUEKE,Incomplete - Blocked,Left Foot,Pass
80,England,46,10,Jude BELLINGHAM,On Target - Saved,Head,Cross
80,England,50,9,Harry KANE,On Target - Saved,Right Foot,Corner
80,England,50,11,Marcus RASHFORD,Off Target,Left Foot,Ball Progression
80,England,53,11,Marcus RASHFORD,Off Target,Head,Cross
80,England,74,9,Harry KANE,On Target - Goal,Head,Cross
80,England,78,8,Elliot ANDERSON,Off Target,Right Foot,Pass
80,England,84,18,Anthony GORDON,Incomplete - Player On Ball Error,Head,Cross
80,England,85,10,Jude BELLINGHAM,On Target - Saved,Left Foot,Pass
80,England,85,9,Harry KANE,On Target - Goal,Right Foot,Pass
80,England,89,9,Harry KANE,Off Target,Right Foot,Pass
80,Congo DR,6,9,Brian CIPENGA,On Target - Goal,Right Foot,Pass
80,Congo DR,31,9,Brian CIPENGA,Off Target,Right Foot,Pass
80,Congo DR,41,20,Yoane WISSA,Off Target,Right Foot,Cross
80,Congo DR,61,9,Brian CIPENGA,Incomplete - Blocked,Right Foot,Pass
80,Congo DR,62,7,Nathanael MBUKU,Deflected Off Target - Defensive Event,Left Foot,Pass
80,Congo DR,84,13,Meschack ELIA,On Target - Saved,Right Foot,Other
80,Congo DR,96,20,Yoane WISSA,Off Target,Right Foot,Freekick
81,USA,3,10,Christian PULISIC,Deflected Off Target - Defensive Event,Right Foot,Pass
81,USA,14,20,Folarin BALOGUN,Off Target,Right Foot,Cross
81,USA,41,20,Folarin BALOGUN,Off Target,Right Foot,Freekick
81,USA,44,20,Folarin BALOGUN,On Target - Goal,Left Foot,Loose Ball
81,USA,52,20,Folarin BALOGUN,Off Target,Right Foot,Pass
81,USA,78,17,Malik TILLMAN,Incomplete - Referee Event,Left Foot,Cross
81,USA,81,17,Malik TILLMAN,On Target - Goal,Right Foot,Freekick
81,USA,95,16,Alex FREEMAN,Off Target,Right Foot,Loose Ball
81,Bosnia and Herzegovina,9,10,Ermedin DEMIROVIC,On Target - Saved,Right Foot,Pass
81,Bosnia and Herzegovina,55,18,Nikola KATIC,Off Target,Right Foot,Pass
81,Bosnia and Herzegovina,65,10,Ermedin DEMIROVIC,Deflected On Target - Saved,Right Foot,Loose Ball
81,Bosnia and Herzegovina,67,20,Esmir BAJRAKTAREVIC,On Target - Saved,Left Foot,Loose Ball
81,Bosnia and Herzegovina,73,7,Amar DEDIC,Incomplete - Blocked,Left Foot,Pass
81,Bosnia and Herzegovina,76,19,Kerim ALAJBEGOVIC,Incomplete - Blocked,Left Foot,Loose Ball
81,Bosnia and Herzegovina,89,15,Amar MEMIC,Incomplete - Blocked,Right Foot,Cross
81,Bosnia and Herzegovina,91,19,Kerim ALAJBEGOVIC,Off Target,Right Foot,Pass
81,Bosnia and Herzegovina,97,26,Ermin MAHMIC,Off Target,Right Foot,Pass
81,Bosnia and Herzegovina,98,26,Ermin MAHMIC,Off Target,Right Foot,Pass
82,Belgium,8,10,Leandro TROSSARD,On Target - Saved,Right Foot,Pass
82,Belgium,17,7,Kevin DE BRUYNE,Off Target,Right Foot,Pass
82,Belgium,44,5,Maxim DE CUYPER,On Target - Saved,Right Foot,Corner
82,Belgium,49,5,Maxim DE CUYPER,Incomplete - Blocked,Left Foot,Freekick
82,Belgium,50,7,Kevin DE BRUYNE,Off Target - Saved,Right Foot,Loose Ball
82,Belgium,55,4,Brandon MECHELE,Off Target,Head,Other
82,Belgium,59,14,Dodi LUKEBAKIO,Incomplete - Blocked,Left Foot,Pass
82,Belgium,59,8,Youri TIELEMANS,Deflected Off Target - Defensive Event,Right Foot,Pass
82,Belgium,61,14,Dodi LUKEBAKIO,Incomplete - Blocked,Left Foot,Pass
82,Belgium,76,3,Arthur THEATE,Incomplete - Blocked,Left Foot,Pass
82,Belgium,77,14,Dodi LUKEBAKIO,Off Target,Left Foot,Pass
82,Belgium,82,21,Timothy CASTAGNE,Off Target,Head,Cross
82,Belgium,83,8,Youri TIELEMANS,Off Target,Left Foot,Pass
82,Belgium,85,9,Romelu LUKAKU,On Target - Goal,Right Foot,Cross
82,Belgium,88,8,Youri TIELEMANS,On Target - Goal,Head,Pass
82,Belgium,92,15,Thomas MEUNIER,Incomplete - Defensive Event,Right Foot,Loose Ball
82,Belgium,103,10,Leandro TROSSARD,Incomplete - Blocked,Right Foot,Ball Progression
82,Belgium,106,23,Nicolas RASKIN,Off Target,Head,Cross
