team,Control,Access,Line-breaking,Defensive approach,Attacking approach,Chance threat,matches,xg_for_per_match,xg_against_per_match,goals_per_match,xg_diff_per_match,goals_minus_xg_per_match,Control_pctile,Access_pctile,Line-breaking_pctile,Defensive approach_pctile,Attacking approach_pctile,Chance threat_pctile,Control_pctile_low,Control_pctile_high,Control_pctile_width,Control_loo_sd,Control_max_abs_delta,Access_pctile_low,Access_pctile_high,Access_pctile_width,Access_loo_sd,Access_max_abs_delta,Line-breaking_pctile_low,Line-breaking_pctile_high,Line-breaking_pctile_width,Line-breaking_loo_sd,Line-breaking_max_abs_delta,Defensive approach_pctile_low,Defensive approach_pctile_high,Defensive approach_pctile_width,Defensive approach_loo_sd,Defensive approach_max_abs_delta,Attacking approach_pctile_low,Attacking approach_pctile_high,Attacking approach_pctile_width,Attacking approach_loo_sd,Attacking approach_max_abs_delta,Chance threat_pctile_low,Chance threat_pctile_high,Chance threat_pctile_width,Chance threat_loo_sd,Chance threat_max_abs_delta,mean_pctile_uncertainty_width,max_pctile_uncertainty_width,max_score_shift_leave_one_out,stability_flag
Congo DR,-0.6077528021933233,-0.36549116383896496,-0.3371372391410294,-0.23684114263758393,-1.242436216554032,-0.40473138893082294,4,0.9275,1.005,1.25,-0.0774999999999999,0.3225,29.166666666666668,39.58333333333333,39.58333333333333,43.75,20.833333333333336,43.75,14.583333333333334,33.33333333333333,18.749999999999993,0.18985530685302712,0.25590435058061456,18.75,50.0,31.25,0.2006583181157349,0.34074363867219937,27.083333333333332,43.75,16.666666666666668,0.1416364562944891,0.19633684379407618,27.083333333333332,56.25,29.166666666666668,0.20251627912078798,0.2805496209533562,8.333333333333332,31.25,22.916666666666668,0.35098880438891855,0.534659054853227,8.333333333333332,47.91666666666667,39.58333333333334,0.2658886459679118,0.4575644990872641,26.38888888888889,39.58333333333334,0.534659054853227,Sample-sensitive
Croatia,0.30517660767082594,-0.323518326751933,-0.019965199509219732,0.3082082691923761,0.5166186232128066,-0.5266196064466693,4,0.8225,1.67,1.5,-0.8474999999999999,0.6775,66.66666666666666,43.75,54.166666666666664,75.0,68.75,39.58333333333333,56.25,77.08333333333334,20.833333333333343,0.11163083871601376,0.1693020758691171,33.33333333333333,50.0,16.66666666666667,0.07131351395585044,0.11456046808319875,35.41666666666667,66.66666666666666,31.249999999999986,0.21424215317751216,0.3639220781408396,43.75,83.33333333333334,39.58333333333334,0.3718507219132044,0.5337034944398181,50.0,85.41666666666666,35.41666666666666,0.2411429813507896,0.39413662653710246,29.166666666666668,43.75,14.583333333333332,0.09440132131129651,0.13446398598970344,26.38888888888889,39.58333333333334,0.5337034944398181,Sample-sensitive
Curaçao,-1.0112527535965514,-0.9962612508529891,-0.5648408093505797,-1.091631181382229,-2.0376237132349924,-0.8274706830135595,3,0.5633333333333334,2.6199999999999997,0.3333333333333333,-2.056666666666666,-0.23000000000000004,10.416666666666668,8.333333333333332,25.0,10.416666666666668,6.25,12.5,6.25,29.166666666666668,22.916666666666668,0.29005515429716694,0.40636127768717634,4.166666666666666,8.333333333333332,4.166666666666666,0.11597654466904961,0.16393746644768004,2.083333333333333,54.166666666666664,52.08333333333333,0.4293577244815776,0.5605896635631031,4.166666666666666,12.5,8.333333333333334,0.1469177924001326,0.20754691324599372,4.166666666666666,35.41666666666667,31.250000000000007,1.0240196035318958,1.4281029720189256,8.333333333333332,25.0,16.666666666666668,0.06741096123317547,0.09480194695676913,22.569444444444443,52.08333333333333,1.4281029720189256,Sample-sensitive
Czechia,-0.8809650215269101,-0.8046452587191316,-0.518783995420066,0.06683706783300558,-0.6719688989979339,-0.5372606413091637,3,0.8133333333333335,1.7366666666666666,0.6666666666666666,-0.9233333333333331,-0.14666666666666683,12.5,14.583333333333334,29.166666666666668,62.5,33.33333333333333,37.5,6.25,22.916666666666664,16.666666666666664,0.18618072857628865,0.2600793313996296,8.333333333333332,18.75,10.416666666666668,0.0578317853002946,0.08176581664220961,18.75,33.33333333333333,14.583333333333329,0.06090841363021044,0.07955717141516738,41.66666666666667,77.08333333333334,35.41666666666667,0.23474155979772393,0.3109896502579184,16.666666666666664,43.75,27.083333333333336,0.5423995524204239,0.7473704077628783,10.416666666666668,45.83333333333333,35.41666666666666,0.22931286788176855,0.3172963122634729,23.263888888888886,35.41666666666667,0.7473704077628783,Sample-sensitive
Côte d'Ivoire,0.17289395290327247,-0.2969268913445196,0.3797508703222918,-0.06858199180144889,-0.08491841716301729,0.11764668613708965,4,1.3775,1.6975000000000002,1.25,-0.3200000000000003,-0.12749999999999995,56.25,50.0,79.16666666666666,52.083333333333336,45.83333333333333,66.66666666666666,45.83333333333333,64.58333333333334,18.750000000000014,0.1398930952861517,0.2322903246781458,37.5,50.0,12.5,0.08025850568613818,0.1301103152696972,43.75,89.58333333333334,45.83333333333334,0.324203348016713,0.5243986335480078,33.33333333333333,79.16666666666666,45.83333333333333,0.3155460150241044,0.428619643934091,35.41666666666667,50.0,14.583333333333329,0.3167973702576306,0.5143321346457089,56.25,72.91666666666666,16.666666666666657,0.13222527769606993,0.1944407279419452,25.694444444444443,45.83333333333334,0.5243986335480078,Sample-sensitive
Ecuador,0.39159374695913196,0.024538446603530495,-0.08222217681362896,0.09771647678783696,0.5802302884571476,0.2250244015677161,4,1.47,1.2774999999999999,0.5,0.19250000000000012,-0.97,75.0,54.166666666666664,50.0,66.66666666666666,70.83333333333334,70.83333333333334,52.083333333333336,91.66666666666666,39.58333333333332,0.20370456126588313,0.30628028509065053,33.33333333333333,64.58333333333334,31.250000000000014,0.29715220021180205,0.5127032944297473,33.33333333333333,58.333333333333336,25.000000000000007,0.18010416612774846,0.3077915035009439,47.91666666666667,79.16666666666666,31.249999999999986,0.23690441350006697,0.27270901749624604,50.0,93.75,43.75,0.4763736510535166,0.8131566457261987,45.83333333333333,83.33333333333334,37.500000000000014,0.31841506978143663,0.4991612717315609,34.72222222222222,43.75,0.8131566457261987,Sample-sensitive
Egypt,0.3521133309777193,0.05030083483689707,0.0849361389195411,-0.1957362569317104,0.4190678484461262,-0.14876613214754575,5,1.1480000000000001,1.4780000000000002,1.6,-0.33000000000000007,0.45199999999999996,72.91666666666666,56.25,62.5,47.91666666666667,62.5,52.083333333333336,56.25,87.5,31.25,0.1266946052162635,0.1981336347761316,50.0,68.75,18.75,0.18056297495524165,0.2642382574175454,50.0,77.08333333333334,27.083333333333343,0.17345912808151698,0.28111342687265073,31.25,66.66666666666666,35.41666666666666,0.25175373808250284,0.3631153890964197,50.0,75.0,25.0,0.20649450364954433,0.2681898680619728,41.66666666666667,58.333333333333336,16.666666666666664,0.14742441604968454,0.2762799597025849,25.694444444444443,35.41666666666666,0.3631153890964197,Sample-sensitive
England,0.44372173366690254,0.3986725047735681,1.4395037792553436,0.2311795724732902,0.7349829083627608,0.6995178197544034,8,1.87875,1.2325,2.5,0.64625,0.6212500000000001,77.08333333333334,83.33333333333334,97.91666666666666,72.91666666666666,77.08333333333334,89.58333333333334,62.5,89.58333333333334,27.083333333333343,0.11495028485252201,0.1749596536192206,66.66666666666666,91.66666666666666,25.0,0.13719166610870787,0.22943157126280983,93.75,100.0,6.25,0.15804279899838614,0.2797555396336229,56.25,81.25,25.0,0.1896504222703336,0.2560098932816911,58.333333333333336,85.41666666666666,27.08333333333332,0.19076649063766754,0.3494470174555938,79.16666666666666,91.66666666666666,12.5,0.1250027672529406,0.24066704172771686,20.48611111111111,27.083333333333343,0.3494470174555938,Moderate
France,0.5108613641899581,0.3782390358406691,0.5617480560975253,0.8328538251487547,0.5843090903301573,0.9549026564542717,8,2.09875,1.01125,2.5,1.0875,0.4012500000000001,83.33333333333334,77.08333333333334,89.58333333333334,89.58333333333334,72.91666666666666,93.75,70.83333333333334,89.58333333333334,18.75,0.07346156262241416,0.15955423937579477,70.83333333333334,83.33333333333334,12.5,0.049223908225378435,0.07303941822363247,79.16666666666666,89.58333333333334,10.416666666666686,0.12957349378246485,0.18164296060795898,81.25,89.58333333333334,8.333333333333343,0.11919861978524565,0.17300956580992677,58.333333333333336,75.0,16.666666666666664,0.09300058920748452,0.1741319408942016,89.58333333333334,100.0,10.416666666666657,0.16029719162549508,0.2684442885765663,12.847222222222223,18.75,0.2684442885765663,Moderate
Germany,0.7445256038511261,1.013731540893304,-0.3873218760022466,0.7562121021017811,1.3220166492345387,1.0231020162548048,4,2.1575,0.8925,2.75,1.2650000000000001,0.5924999999999998,93.75,95.83333333333334,35.41666666666667,85.41666666666666,93.75,95.83333333333334,89.58333333333334,93.75,4.166666666666657,0.07565175870475896,0.11748325776945134,93.75,95.83333333333334,2.083333333333343,0.24443935469788272,0.32738960223224267,8.333333333333332,50.0,41.66666666666667,0.28292370208544027,0.38961953019678625,79.16666666666666,93.75,14.583333333333343,0.29334614919584984,0.419141084059252,89.58333333333334,93.75,4.166666666666657,0.1279641787995082,0.1819051933710205,70.83333333333334,100.0,29.166666666666657,0.5111753300156874,0.7787302785734622,15.972222222222221,41.66666666666667,0.7787302785734622,Sample-sensitive
